"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId","ts"
"Professor Longhair","Ann","F","0","Banks","214.20363","free","Salt Lake City, UT","124","Mean Ol'World","99","1.54129E+12"
"Gary Hobbs","Jahiem","M","1","Miles","245.52444","free","San Antonio-New Braunfels, TX","42","En Mi Mundo","43","1.5413E+12"
"Lifehouse","Jahiem","M","2","Miles","203.59791","free","San Antonio-New Braunfels, TX","42","We'll Never Know","43","1.5413E+12"
"Olivia Ruiz","Jahiem","M","3","Miles","254.74567","free","San Antonio-New Braunfels, TX","42","Cabaret Blanco","43","1.5413E+12"
"Jordan Rudess","Cecilia","F","1","Owens","1367.84934","free","Atlanta-Sandy Springs-Roswell, GA","225","Tarkus","6","1.54131E+12"
"Deerhunter","Jayden","M","0","Graves","162.08934","paid","Marinette, WI-MI","128","Weird Era","25","1.54131E+12"
"Daughtry","Jayden","M","1","Graves","249.91302","paid","Marinette, WI-MI","128","No Surprise","25","1.54131E+12"
"Vinylshakerz","Jayden","M","6","Graves","207.25506","paid","Marinette, WI-MI","128","Club Tropicana","25","1.54131E+12"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Jayden","M","7","Graves","277.15873","paid","Marinette, WI-MI","128","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","25","1.54131E+12"
"Son House","Jayden","M","8","Graves","182.43873","paid","Marinette, WI-MI","128","Depot Blues","25","1.54131E+12"
"Jason Mraz & Colbie Caillat","Jayden","M","9","Graves","189.6224","paid","Marinette, WI-MI","128","Lucky (Album Version)","25","1.54131E+12"
"The Romantics","Jayden","M","10","Graves","233.7171","paid","Marinette, WI-MI","128","Talking In Your Sleep","25","1.54131E+12"
"The Postal Service","Jayden","M","11","Graves","266.47465","paid","Marinette, WI-MI","128","Such Great Heights","25","1.54131E+12"
"Tweet","Jayden","M","12","Graves","281.80853","paid","Marinette, WI-MI","128","Always Will (LP Version)","25","1.54131E+12"
"Gang Starr/Inspectah Deck","Jayden","M","13","Graves","225.07057","paid","Marinette, WI-MI","128","Above The Clouds (Edited)","25","1.54131E+12"
"Kanye West","Jayden","M","14","Graves","164.38812","paid","Marinette, WI-MI","128","Coldest Winter","25","1.54131E+12"
"Shunza","Jayden","M","15","Graves","250.93179","paid","Marinette, WI-MI","128","Nan Ni Wan","25","1.54131E+12"
"Erykah Badu","Jayden","M","16","Graves","286.9024","paid","Marinette, WI-MI","128","Back In The Day","25","1.54131E+12"
"Mariza","Maia","F","0","Burke","239.3073","free","Houston-The Woodlands-Sugar Land, TX","143","Vielas De Alfama","51","1.54131E+12"
"Asia 2001","Jayden","M","22","Graves","150.30812","paid","Marinette, WI-MI","128","Epilogue","25","1.54131E+12"
"Alejandro Sanz","Maia","F","1","Burke","230.24281","free","Houston-The Woodlands-Sugar Land, TX","143","Non E_ Per Te_ Per Me","51","1.54131E+12"
"The Casualties","Jayden","M","23","Graves","131.23873","paid","Marinette, WI-MI","128","Fight For Your Life","25","1.54131E+12"
"Alliance Ethnik","Jayden","M","24","Graves","252.21179","paid","Marinette, WI-MI","128","ReprÃÂ©sente","25","1.54131E+12"
"Hey Monday","Jayden","M","25","Graves","222.98077","paid","Marinette, WI-MI","128","Run_ Don't Walk","25","1.54131E+12"
"Silverchair","Jayden","M","26","Graves","213.13261","paid","Marinette, WI-MI","128","The Door","25","1.54131E+12"
"El DeBarge","Jayden","M","27","Graves","323.47383","paid","Marinette, WI-MI","128","Love Always","25","1.54131E+12"
"Evanescence","Jayden","M","28","Graves","236.12036","paid","Marinette, WI-MI","128","Bring Me To Life","25","1.54131E+12"
"Ludovico Einaudi","Jayden","M","30","Graves","249.02485","paid","Marinette, WI-MI","128","The Snow Prelude No. 2","25","1.54132E+12"
"Caifanes","Jayden","M","31","Graves","210.88608","paid","Marinette, WI-MI","128","Ayer Me Dijo Un Ave","25","1.54132E+12"
"The xx","Jayden","M","32","Graves","188.55138","paid","Marinette, WI-MI","128","Basic Space","25","1.54132E+12"
"Swizz Beatz","Jayden","M","33","Graves","213.7073","paid","Marinette, WI-MI","128","Big Munny","25","1.54132E+12"
"OutKast","Jayden","M","34","Graves","239.35955","paid","Marinette, WI-MI","128","Ms. Jackson","25","1.54132E+12"
"The Black Keys","Jayden","M","35","Graves","300.30322","paid","Marinette, WI-MI","128","The Only One","25","1.54132E+12"
"Nappy Roots [featuring Anthony Hamilton]","Jayden","M","36","Graves","248.00608","paid","Marinette, WI-MI","128","Po' Folks","25","1.54132E+12"
"Whitesnake","Jayden","M","37","Graves","250.3571","paid","Marinette, WI-MI","128","Fool For Your Loving","25","1.54132E+12"
"Foolish Things","Jayden","M","38","Graves","266.86649","paid","Marinette, WI-MI","128","Who Can Compare","25","1.54132E+12"
"Soda Stereo","Jayden","M","39","Graves","317.6224","paid","Marinette, WI-MI","128","PrÃÂ³fugos","25","1.54132E+12"
