artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
The Grass Roots,Logged In,Sara,F,72,Johnson,166.71302,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Let's Live For Today,200,2018-11-14 00:03:22.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
Stars,Logged In,Sara,F,73,Johnson,298.94485,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Time Can Never Kill The True Heart,200,2018-11-14 00:06:08.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
Eddie Palmieri,Logged In,Sara,F,74,Johnson,391.83628,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Nada De Ti,200,2018-11-14 00:11:06.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
The Bravery,Logged In,Sara,F,75,Johnson,168.14975,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Give In,200,2018-11-14 00:17:37.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
K.U.K.L,Logged In,Sara,F,76,Johnson,181.28933999999998,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Anna,200,2018-11-14 00:20:25.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
The Fray,Logged In,Sara,F,77,Johnson,209.97179,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Syndicate,200,2018-11-14 00:23:26.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
Chuck Berry,Logged In,Sara,F,78,Johnson,147.06893,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Roll Over Beethoven,200,2018-11-14 00:26:55.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
Dimmu Borgir,Logged In,Sara,F,79,Johnson,468.47955,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Kings Of The Carnival Creation,200,2018-11-14 00:29:22.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
Jimmy Nail,Logged In,Sara,F,80,Johnson,245.65506000000002,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Ain't No Doubt,200,2018-11-14 00:37:10.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
Weezer,Logged In,Sara,F,81,Johnson,189.43955,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Pork And Beans,200,2018-11-14 00:41:15.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
,Logged In,Wyatt,M,0,Scott,,free,"Eureka-Arcata-Fortuna, CA",GET,Home,1540872073796,551,,200,2018-11-14 00:41:43.796,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,9
Madcon,Logged In,Wyatt,M,1,Scott,215.92771000000002,free,"Eureka-Arcata-Fortuna, CA",PUT,NextSong,1540872073796,551,Beggin',200,2018-11-14 00:42:13.796,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,9
Joe Williams / Count Basie,Logged In,Sara,F,82,Johnson,184.94648999999998,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Teach Me Tonight,200,2018-11-14 00:44:24.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
